noc_2021,aioe,caioe,groupmean,noc_title,exposure_level,comp_level,quadrant,label
60010,6.594914041,4.587706633,0.652777778,Corporate sales managers,High Exposure,High Complementarity,HE-HC,NA
60020,6.48623218,4.198936529,0.70162037,Retail and wholesale trade managers,High Exposure,High Complementarity,HE-HC,NA
60030,5.97989782,4.257355031,0.636388889,Restaurant and food service managers,High Exposure,High Complementarity,HE-HC,NA
60031,6.215860454,4.021316388,0.701388889,Accommodation service managers,High Exposure,High Complementarity,HE-HC,NA
60040,6.181318069,4.285723426,0.655810185,Managers in customer and personal services,High Exposure,High Complementarity,HE-HC,NA
62022,6.248049388,4.304211801,0.659444444,"Accommodation, travel, tourism and related services supervisors",High Exposure,High Complementarity,HE-HC,NA
62023,6.140052496,4.122363023,0.676944444,Customer and information services supervisors,High Exposure,High Complementarity,HE-HC,NA
62029,6.140052496,4.122363023,0.676944444,Other services supervisors,High Exposure,High Complementarity,HE-HC,NA
62100,6.397342455,4.53417549,0.639722222,Technical sales specialists - wholesale trade,High Exposure,High Complementarity,HE-HC,NA
62101,6.403669143,4.701360429,0.614166667,Retail and wholesale buyers,High Exposure,High Complementarity,HE-HC,NA
63101,6.424457341,4.500689282,0.647777778,Real estate agents and salespersons,High Exposure,High Complementarity,HE-HC,NA
64101,6.310203142,4.557368936,0.626111111,Sales and account representatives - wholesale trade (non-technical),High Exposure,High Complementarity,HE-HC,NA
64320,6.368551781,4.534055059,0.636388889,Tour and travel guides,High Exposure,High Complementarity,HE-HC,NA
65229,6.140052496,4.122363023,0.676944444,Other support occupations in personal services,High Exposure,High Complementarity,HE-HC,NA
70010,6.502255361,3.785757566,0.766111111,Construction managers,High Exposure,High Complementarity,HE-HC,NA
70011,6.502255361,3.785757566,0.766111111,Home building and renovation managers,High Exposure,High Complementarity,HE-HC,NA
70012,6.499978183,4.520672611,0.652962963,Facility operation and maintenance managers,High Exposure,High Complementarity,HE-HC,NA
70020,6.533072448,4.536163667,0.654666667,Managers in transportation,High Exposure,High Complementarity,HE-HC,NA
70021,6.405720161,4.38258021,0.664166667,Postal and courier services managers,High Exposure,High Complementarity,HE-HC,NA
72025,6.405720161,4.38258021,0.664166667,"Supervisors, mail and message distribution occupations",High Exposure,High Complementarity,HE-HC,NA
74202,6.182615126,4.269384795,0.659537037,Air transport ramp attendants,High Exposure,High Complementarity,HE-HC,NA
80010,6.382130059,4.324840004,0.671481481,Managers in natural resources production and fishing,High Exposure,High Complementarity,HE-HC,NA
80021,5.983559372,3.704820511,0.729166667,Managers in horticulture,High Exposure,High Complementarity,HE-HC,NA
80022,5.983559372,3.704820511,0.729166667,Managers in aquaculture,High Exposure,High Complementarity,HE-HC,NA
90010,6.375571544,4.098237082,0.705972222,Manufacturing managers,High Exposure,High Complementarity,HE-HC,NA
90011,6.277054881,3.821770723,0.739880952,Utilities managers,High Exposure,High Complementarity,HE-HC,NA
