month,Quadrant,avg_remuneration
2019-08-01,HE-LC,20.91061281670185
2019-09-01,HE-LC,21.511899447992857
2019-10-01,HE-LC,22.194778038683353
2019-11-01,HE-LC,22.58794397667369
2019-12-01,HE-LC,22.791405927083435
2023-01-01,LE,22.890234727073505
2023-02-01,LE,22.942275398986332
2023-03-01,LE,22.89660869198584
2023-04-01,LE,22.75940099713593
2023-05-01,LE,22.80682051829611
2023-06-01,LE,23.180331309361083
2023-07-01,LE,23.159648257209724
2023-08-01,LE,22.83309381082276
2023-09-01,LE,23.235463396971646
2023-10-01,LE,23.328745584874277
2023-11-01,LE,23.859834450559806
2023-12-01,LE,23.958374571444246
2024-01-01,LE,24.656025615056762
2024-02-01,LE,24.719976860093887
2024-03-01,LE,24.404374894929383
2024-04-01,LE,24.529736924004613
2024-05-01,LE,24.116956351670378
2024-06-01,LE,24.23429400502664
2024-07-01,LE,24.648354341758075
2020-01-01,LE,19.409637418660047
2020-02-01,LE,18.99244507277408
2020-03-01,LE,19.16173348854198
2020-04-01,LE,19.19150462060503
2020-05-01,LE,19.315290517250343
2020-06-01,LE,19.269233405009555
2020-07-01,LE,19.33421614713981
2020-08-01,LE,19.174097953293575
2020-09-01,LE,19.309530133767783
2020-10-01,LE,19.42445281831704
2020-11-01,LE,19.46543637349875
2020-12-01,LE,19.825177440458283
2021-01-01,LE,20.127387977922695
2021-02-01,LE,19.890906624562906
2021-03-01,LE,19.986771638972748
2021-04-01,LE,20.45298368599129
2021-05-01,LE,20.036091813045545
2021-06-01,LE,19.803457725631798
2021-07-01,LE,20.138295275211824
2021-08-01,LE,20.125764126022084
2021-09-01,LE,20.316165252734958
2021-10-01,LE,20.775178733141985
2021-11-01,LE,20.859643301265965
2021-12-01,LE,21.07665349472036
2022-01-01,LE,22.292690447595543
2022-02-01,LE,21.67919993632321
2022-03-01,LE,21.58820350726793
2022-04-01,LE,21.501856123982073
2022-05-01,LE,21.619397327624608
2022-06-01,LE,21.821919542799286
2022-07-01,LE,22.090631073072615
2022-08-01,LE,21.778657268063395
2022-09-01,LE,22.030599755173977
2022-10-01,LE,22.244716576693087
2022-11-01,LE,22.40754174763809
2022-12-01,LE,22.752933419612035
2018-01-01,LE,18.291856690297575
2018-02-01,LE,18.439369124870126
2018-03-01,LE,18.4563636622313
2018-04-01,LE,18.078438142944112
2018-05-01,LE,18.486664765106685
2018-06-01,LE,19.00580154811878
2018-07-01,LE,18.90363772542778
2018-08-01,LE,18.648148875414098
2018-09-01,LE,18.6443923297921
2018-10-01,LE,18.42764904514504
2018-11-01,LE,18.5548267214911
2018-12-01,LE,18.65700420326238
2019-01-01,LE,18.677416336138947
2019-02-01,LE,18.827363191782283
2019-03-01,LE,18.646107066071423
2019-04-01,LE,18.569464890030503
2019-05-01,LE,18.46302316035494
2019-06-01,LE,18.681678070807703
2019-07-01,LE,18.756410569340602
2019-08-01,LE,18.552208720569922
2019-09-01,LE,18.75696675363488
2019-10-01,LE,19.126099097337523
2019-11-01,LE,19.299648485263642
2019-12-01,LE,19.296409850216875
