Quadrant,ind,month,N,initial_count,index,xy
HE-HC,Service Industries,2019-09-01,16159,17862,90.46579330422125,HE-HC Service Industries
HE-LC,Service Industries,2019-09-01,24992,24940,100.20850040096232,HE-LC Service Industries
HE-HC,Service Industries,2019-10-01,21779,17862,121.92923524801253,HE-HC Service Industries
HE-LC,Service Industries,2019-10-01,30644,24940,122.87089013632719,HE-LC Service Industries
HE-HC,Service Industries,2019-11-01,18918,17862,105.91199193819281,HE-HC Service Industries
HE-LC,Service Industries,2019-11-01,27018,24940,108.33199679230152,HE-LC Service Industries
HE-HC,Service Industries,2019-12-01,12215,17862,68.38539917142538,HE-HC Service Industries
HE-LC,Service Industries,2019-12-01,16565,24940,66.41940657578188,HE-LC Service Industries
HE-HC,Service Industries,2020-01-01,15155,17862,84.84492218116672,HE-HC Service Industries
HE-LC,Service Industries,2020-01-01,21790,24940,87.36968724939855,HE-LC Service Industries
HE-HC,Service Industries,2020-02-01,11994,17862,67.14813570708768,HE-HC Service Industries
HE-LC,Service Industries,2020-02-01,16675,24940,66.86046511627907,HE-LC Service Industries
HE-HC,Service Industries,2020-03-01,8607,17862,48.18609338259993,HE-HC Service Industries
HE-LC,Service Industries,2020-03-01,13622,24940,54.61908580593424,HE-LC Service Industries
HE-HC,Service Industries,2020-04-01,4881,17862,27.32616728249916,HE-HC Service Industries
HE-LC,Service Industries,2020-04-01,7560,24940,30.312750601443465,HE-LC Service Industries
HE-HC,Service Industries,2020-05-01,6573,17862,36.79879072892173,HE-HC Service Industries
HE-LC,Service Industries,2020-05-01,9736,24940,39.037690457097035,HE-LC Service Industries
HE-HC,Service Industries,2020-06-01,9047,17862,50.64942335684693,HE-HC Service Industries
HE-LC,Service Industries,2020-06-01,13774,24940,55.22854851643946,HE-LC Service Industries
HE-HC,Service Industries,2020-07-01,9747,17862,54.56835740678535,HE-HC Service Industries
HE-LC,Service Industries,2020-07-01,14817,24940,59.410585404971926,HE-LC Service Industries
HE-HC,Service Industries,2020-08-01,9208,17862,51.55077818833277,HE-HC Service Industries
HE-LC,Service Industries,2020-08-01,14673,24940,58.833199679230155,HE-LC Service Industries
HE-HC,Service Industries,2020-09-01,10443,17862,58.464897547866975,HE-HC Service Industries
HE-LC,Service Industries,2020-09-01,15668,24940,62.82277465918204,HE-LC Service Industries
HE-HC,Service Industries,2020-10-01,10054,17862,56.287089911544065,HE-HC Service Industries
HE-LC,Service Industries,2020-10-01,16717,24940,67.02886928628709,HE-LC Service Industries
HE-HC,Service Industries,2020-11-01,10080,17862,56.4326503191132,HE-HC Service Industries
HE-LC,Service Industries,2020-11-01,14965,24940,60.004009623095435,HE-LC Service Industries
HE-HC,Service Industries,2020-12-01,9863,17862,55.2177807636323,HE-HC Service Industries
HE-LC,Service Industries,2020-12-01,12754,24940,51.13873295910184,HE-LC Service Industries
HE-HC,Service Industries,2021-01-01,11090,17862,62.08711230545292,HE-HC Service Industries
HE-LC,Service Industries,2021-01-01,15211,24940,60.99037690457097,HE-LC Service Industries
HE-HC,Service Industries,2021-02-01,11300,17862,63.26279252043444,HE-HC Service Industries
HE-LC,Service Industries,2021-02-01,16039,24940,64.3103448275862,HE-LC Service Industries
HE-HC,Service Industries,2021-03-01,14183,17862,79.40320232896651,HE-HC Service Industries
HE-LC,Service Industries,2021-03-01,20560,24940,82.43785084202085,HE-LC Service Industries
HE-HC,Service Industries,2021-04-01,14555,17862,81.48583585264808,HE-HC Service Industries
HE-LC,Service Industries,2021-04-01,19238,24940,77.13712910986368,HE-LC Service Industries
HE-HC,Service Industries,2021-05-01,16040,17862,89.79957451573172,HE-HC Service Industries
HE-LC,Service Industries,2021-05-01,20184,24940,80.93023255813954,HE-LC Service Industries
HE-HC,Service Industries,2021-06-01,18343,17862,102.69286754002911,HE-HC Service Industries
HE-LC,Service Industries,2021-06-01,25799,24940,103.44426623897354,HE-LC Service Industries
HE-HC,Service Industries,2021-07-01,16273,17862,91.10401970663979,HE-HC Service Industries
HE-LC,Service Industries,2021-07-01,24820,24940,99.51884522854851,HE-LC Service Industries
HE-HC,Service Industries,2021-08-01,15920,17862,89.127757250028,HE-HC Service Industries
HE-LC,Service Industries,2021-08-01,23207,24940,93.05132317562149,HE-LC Service Industries
HE-HC,Service Industries,2021-09-01,16233,17862,90.88008061807187,HE-HC Service Industries
HE-LC,Service Industries,2021-09-01,24756,24940,99.26222935044106,HE-LC Service Industries
HE-HC,Service Industries,2021-10-01,19219,17862,107.59713357966633,HE-HC Service Industries
HE-LC,Service Industries,2021-10-01,29581,24940,118.60866078588612,HE-LC Service Industries
HE-HC,Service Industries,2021-11-01,19494,17862,109.1367148135707,HE-HC Service Industries
HE-LC,Service Industries,2021-11-01,27649,24940,110.86206896551725,HE-LC Service Industries
HE-HC,Service Industries,2021-12-01,18028,17862,100.92934721755682,HE-HC Service Industries
HE-LC,Service Industries,2021-12-01,23970,24940,96.11066559743384,HE-LC Service Industries
HE-HC,Service Industries,2022-01-01,23363,17862,130.79722315530177,HE-HC Service Industries
HE-LC,Service Industries,2022-01-01,32009,24940,128.3440256615878,HE-LC Service Industries
HE-HC,Service Industries,2022-02-01,23294,17862,130.4109282275221,HE-HC Service Industries
HE-LC,Service Industries,2022-02-01,33203,24940,133.13151563753007,HE-LC Service Industries
HE-HC,Service Industries,2022-03-01,26309,17862,147.2903370283283,HE-HC Service Industries
HE-LC,Service Industries,2022-03-01,38869,24940,155.85004009623097,HE-LC Service Industries
HE-HC,Service Industries,2022-04-01,27232,17862,152.45773149703282,HE-HC Service Industries
HE-LC,Service Industries,2022-04-01,40447,24940,162.17722534081796,HE-LC Service Industries
HE-HC,Service Industries,2022-05-01,28918,17862,161.8967640801702,HE-HC Service Industries
HE-LC,Service Industries,2022-05-01,41504,24940,166.41539695268645,HE-LC Service Industries
HE-HC,Service Industries,2022-06-01,31790,17862,177.97559063934608,HE-HC Service Industries
HE-LC,Service Industries,2022-06-01,43212,24940,173.26383319967925,HE-LC Service Industries
HE-HC,Service Industries,2022-07-01,26897,17862,150.58224163027657,HE-HC Service Industries
HE-LC,Service Industries,2022-07-01,37765,24940,151.4234161988773,HE-LC Service Industries
HE-HC,Service Industries,2022-08-01,25028,17862,140.11868771694097,HE-HC Service Industries
HE-LC,Service Industries,2022-08-01,36969,24940,148.2317562149158,HE-LC Service Industries
HE-HC,Service Industries,2022-09-01,24797,17862,138.8254394804613,HE-HC Service Industries
HE-LC,Service Industries,2022-09-01,36446,24940,146.1347233360064,HE-LC Service Industries
HE-HC,Service Industries,2022-10-01,24519,17862,137.26906281491432,HE-HC Service Industries
HE-LC,Service Industries,2022-10-01,33634,24940,134.85966319166,HE-LC Service Industries
HE-HC,Service Industries,2022-11-01,24565,17862,137.52659276676744,HE-HC Service Industries
HE-LC,Service Industries,2022-11-01,32961,24940,132.16118684843624,HE-LC Service Industries
HE-HC,Service Industries,2022-12-01,21072,17862,117.97111185757474,HE-HC Service Industries
HE-LC,Service Industries,2022-12-01,25608,24940,102.6784282277466,HE-LC Service Industries
HE-HC,Service Industries,2023-01-01,24295,17862,136.01500391893404,HE-HC Service Industries
HE-LC,Service Industries,2023-01-01,30819,24940,123.57257417802727,HE-LC Service Industries
HE-HC,Service Industries,2023-02-01,22588,17862,126.45840331429852,HE-HC Service Industries
HE-LC,Service Industries,2023-02-01,27229,24940,109.17802726543704,HE-LC Service Industries
HE-HC,Service Industries,2023-03-01,26268,17862,147.06079946254619,HE-HC Service Industries
HE-LC,Service Industries,2023-03-01,30052,24940,120.4971932638332,HE-LC Service Industries
HE-HC,Service Industries,2023-04-01,22044,17862,123.41283170977495,HE-HC Service Industries
HE-LC,Service Industries,2023-04-01,24690,24940,98.99759422614274,HE-LC Service Industries
HE-HC,Service Industries,2023-05-01,23427,17862,131.1555256970104,HE-HC Service Industries
HE-LC,Service Industries,2023-05-01,25450,24940,102.04490777866882,HE-LC Service Industries
HE-HC,Service Industries,2023-06-01,24959,17862,139.73239278916134,HE-HC Service Industries
HE-LC,Service Industries,2023-06-01,26596,24940,106.63993584603047,HE-LC Service Industries
HE-HC,Service Industries,2023-07-01,21502,17862,120.37845705967977,HE-HC Service Industries
HE-LC,Service Industries,2023-07-01,24946,24940,100.02405773857257,HE-LC Service Industries
HE-HC,Service Industries,2023-08-01,21407,17862,119.846601724331,HE-HC Service Industries
HE-LC,Service Industries,2023-08-01,25983,24940,104.18203688853247,HE-LC Service Industries
HE-HC,Service Industries,2023-09-01,21434,17862,119.99776060911431,HE-HC Service Industries
HE-LC,Service Industries,2023-09-01,24876,24940,99.74338412189255,HE-LC Service Industries
HE-HC,Service Industries,2023-10-01,18825,17862,105.39133355727242,HE-HC Service Industries
HE-LC,Service Industries,2023-10-01,20037,24940,80.34081796311146,HE-LC Service Industries
HE-HC,Service Industries,2023-11-01,20207,17862,113.1284290672937,HE-HC Service Industries
HE-LC,Service Industries,2023-11-01,21205,24940,85.02405773857258,HE-LC Service Industries
HE-HC,Service Industries,2023-12-01,17384,17862,97.32392789161348,HE-HC Service Industries
HE-LC,Service Industries,2023-12-01,17758,24940,71.2028869286287,HE-LC Service Industries
HE-HC,Service Industries,2024-01-01,21330,17862,119.41551897883775,HE-HC Service Industries
HE-LC,Service Industries,2024-01-01,22283,24940,89.34643143544507,HE-LC Service Industries
HE-HC,Service Industries,2024-02-01,20733,17862,116.0732280819617,HE-HC Service Industries
HE-LC,Service Industries,2024-02-01,20749,24940,83.19566960705693,HE-LC Service Industries
HE-HC,Service Industries,2024-03-01,20399,17862,114.20333669241967,HE-HC Service Industries
HE-LC,Service Industries,2024-03-01,21665,24940,86.86848436246993,HE-LC Service Industries
HE-HC,Service Industries,2024-04-01,19987,17862,111.8967640801702,HE-HC Service Industries
HE-LC,Service Industries,2024-04-01,21114,24940,84.65918203688854,HE-LC Service Industries
HE-HC,Service Industries,2024-05-01,21981,17862,123.06012764528049,HE-HC Service Industries
HE-LC,Service Industries,2024-05-01,21716,24940,87.07297514033681,HE-LC Service Industries
HE-HC,Service Industries,2024-06-01,20308,17862,113.69387526592767,HE-HC Service Industries
HE-LC,Service Industries,2024-06-01,20153,24940,80.80593424218124,HE-LC Service Industries
HE-HC,Service Industries,2024-07-01,18450,17862,103.29190460194827,HE-HC Service Industries
HE-LC,Service Industries,2024-07-01,19587,24940,78.5364875701684,HE-LC Service Industries
